==================================================================
 DETALHAMENTO POR TIMEFRAME - CANDLE1A4
 05/03/2026
==================================================================

Robo                         TF  Trades      WR%    Saldo     DD
-----------------------------------------------------------------
     v01_cm1_rm1                   1min      12    58,33      295    277
[OK] v01_cm1_rm1                   2min       7    71,43      255     79
     v01_cm1_rm1                   3min      25       52      814    178
     v01_cm1_rm1                   4min      26       50      315    199
     v01_cm1_rm1                   5min      29    44,83      215    368
     v01_cm1_rm1                  15min      34    58,82     -190    525
[OK] v01_cm1_rm1                  30min      32    68,75      984    243
     v01_cm1_rm1                  60min      42    52,38      708   1136
     v02_cm2_rm1                   1min      11    54,55       50    277
     v02_cm2_rm1                   2min      23    52,17      479    188
     v02_cm2_rm1                   3min      23    56,52      883    178
     v02_cm2_rm1                   4min      21    42,86      182    270
     v02_cm2_rm1                   5min      27    40,74       -4    501
[OK] v02_cm2_rm1                  15min      28    64,29       88    257
[OK] v02_cm2_rm1                  30min      27    66,67      658    254
     v02_cm2_rm1                  60min      40       55      790   1058
[OK] v03_cm3_rm1                   1min       5       80      349    178
[OK] v03_cm3_rm1                   2min       7    71,43      255     79
     v03_cm3_rm1                   3min      19    52,63      817    178
     v03_cm3_rm1                   4min      18    33,33     -226    496
     v03_cm3_rm1                   5min      19    26,32     -349    451
     v03_cm3_rm1                  15min      19    63,16      -50    257
     v03_cm3_rm1                  30min      14    57,14       68    299
[OK] v03_cm3_rm1                  60min      23    60,87     1076    572
     v04_cm1_rm2                   1min       8     62,5      -29    290
     v04_cm1_rm2                   2min      19    52,63      540    234
     v04_cm1_rm2                   3min      19    52,63      730    197
     v04_cm1_rm2                   4min      17    35,29     -581    637
     v04_cm1_rm2                   5min      20       30     -374    476
     v04_cm1_rm2                  15min      21    66,67      -14    257
[OK] v04_cm1_rm2                  30min      16     62,5       99    268
[OK] v04_cm1_rm2                  60min      23    60,87     1005    643
     v06_cm3_rm2                   1min       4       75      179    112
     v06_cm3_rm2                   4min      18    38,89     -420    578
     v06_cm3_rm2                   5min      20       30     -314    446
     v06_cm3_rm2                  15min      20       60      -77    257
     v06_cm3_rm2                  30min      14    57,14       68    299
[OK] v06_cm3_rm2                  60min      23    60,87     1076    572
[OK] v07_cm1_rm3                   1min       8     62,5      115    272
     v07_cm1_rm3                   2min      19    52,63      571    168
     v07_cm1_rm3                   3min      19    52,63      678    178
     v07_cm1_rm3                   4min      18    33,33     -255    496
     v07_cm1_rm3                   5min      20       35     -201    338
     v07_cm1_rm3                  15min      21    66,67      -14    257
[OK] v07_cm1_rm3                  30min      17    64,71      237    268
     v07_cm1_rm3                  60min      25       60      866    793
[OK] v09_cm3_rm3                   1min       5       80      339    178
     v09_cm3_rm3                   2min       4       50      689     63
     v09_cm3_rm3                   5min      19    31,58     -275    412
     v09_cm3_rm3                  15min      19    63,16      -50    257
     v09_cm3_rm3                  30min      14    57,14       68    299
[OK] v09_cm3_rm3                  60min      23    60,87     1076    572
[OK] v10_cm1_rm1                   1min       8     62,5      120    277
[OK] v10_cm1_rm1                   2min       7    71,43      255     79
     v10_cm1_rm1                   3min      19    52,63      817    178
     v10_cm1_rm1                   4min      17    29,41     -405    496
     v10_cm1_rm1                   5min      20       30     -275    377
     v10_cm1_rm1                  15min      21    66,67      -14    257
[OK] v10_cm1_rm1                  30min      16     62,5       99    268
[OK] v10_cm1_rm1                  60min      23    60,87     1005    643
[OK] v12_cm3_rm1                   1min       5       80      349    178
[OK] v12_cm3_rm1                   2min       7    71,43      255     79
     v12_cm3_rm1                   3min      19    52,63      817    178
     v12_cm3_rm1                   4min      17    29,41     -405    496
     v12_cm3_rm1                   5min      19    26,32     -349    451
     v12_cm3_rm1                  15min      19    63,16      -50    257
     v12_cm3_rm1                  30min      14    57,14       68    299
[OK] v12_cm3_rm1                  60min      22    63,64     1226    422
     v13_cm1_rm2                   1min       9    55,56      -84    311
     v13_cm1_rm2                   2min      19    52,63      672    188
     v13_cm1_rm2                   3min      20       50      719    197
     v13_cm1_rm2                   4min      18    38,89     -420    578
[OK] v15_cm3_rm2                   1min       5       80      316    112
     v15_cm3_rm2                   2min      19    52,63      536    234
     v15_cm3_rm2                   3min      19    52,63      730    197
     v15_cm3_rm2                   4min      17    35,29     -599    655
     v15_cm3_rm2                   5min      19    26,32     -448    550
     v15_cm3_rm2                  15min      19    63,16      -50    257
     v15_cm3_rm2                  30min      14    57,14       68    299
[OK] v15_cm3_rm2                  60min      22    63,64     1226    422
[OK] v16_cm1_rm3                   1min       8     62,5      115    272
[OK] v16_cm1_rm3                   2min       7    71,43      261     63
     v16_cm1_rm3                   3min      20       50      652    178
     v16_cm1_rm3                   4min      18    33,33     -415    477
     v16_cm1_rm3                   5min      20       35     -201    338
     v16_cm1_rm3                  15min      23    60,87     -122    340
[OK] v16_cm1_rm3                  30min      18    61,11      151    197
[OK] v16_cm1_rm3                  60min      23    60,87     1005    643
[OK] v18_cm3_rm3                   1min       6    66,67      268    178
[OK] v18_cm3_rm3                   2min       7    71,43      261     63
     v18_cm3_rm3                   3min      22       50      611    178
     v18_cm3_rm3                   4min      19    36,84     -236    477
     v18_cm3_rm3                   5min      20       35     -141    412
     v18_cm3_rm3                  15min      22    54,55     -185    340
     v18_cm3_rm3                  30min      16    56,25      120    206
[OK] v18_cm3_rm3                  60min      24     62,5     1174    572
[OK] v19_cm1_rm1                   1min       8     62,5      120    277
     v19_cm1_rm1                   2min      19    52,63      556    174
     v19_cm1_rm1                   3min      21    52,38      793    178
     v19_cm1_rm1                   4min      19    36,84     -151    421
     v19_cm1_rm1                  15min      23    60,87     -122    340
[OK] v19_cm1_rm1                  30min      19    63,16      289    197
     v19_cm1_rm1                  60min      25       60      866    793
     v20_cm2_rm1                  15min       2        0     -108    108
     v20_cm2_rm1                  30min       2       50       52     41
[OK] v21_cm3_rm1                   1min       6    66,67      278    178
