RANKING DE CONSISTENCIA - TODOS OS TIMEFRAMES (CORRIGIDO v2)
Gerado em: 04/03/2026 17:51:58
Combinacoes analisadas (robo+tf): 175
Criterios de aprovacao: WinRate > 60; Saldo > 0; Drawdown <= 700

TOP 15 ROBOS ELEGIVEIS (SCORE COM AMOSTRA PONDERADA)
Robo | ScoreFinal | TFAprov | QtdTF | TradesAprov | WinRateAprov | SaldoAprov | DrawdownPiorAprov | PatrimonioSugerido
robo_candle1a4_v21_cm3_rm1_tfcurto | 57.74 | 3 | 8 | 17 | 76.47 | 1222 | 178 | 1000
robo_candle1a4_v27_cm3_rm3_tfcurto | 52.05 | 3 | 9 | 34 | 70.59 | 2057 | 630 | 1575
robo_candle1a4_v12_cm3_rm1_tfcurto | 51.1 | 3 | 8 | 34 | 67.65 | 1830 | 422 | 1055
robo_candle1a4_v30_cm3_rm1_tfcurto | 47.53 | 2 | 5 | 27 | 66.67 | 1575 | 422 | 1055
robo_candle1a4_v01_cm1_rm1_tfcurto | 45.79 | 2 | 8 | 39 | 69.23 | 1239 | 243 | 1000
robo_candle1a4_v03_cm3_rm1_tfcurto | 45.13 | 3 | 8 | 35 | 65.71 | 1680 | 572 | 1430
robo_candle1a4_v25_cm1_rm3_tfcurto | 44.98 | 4 | 9 | 57 | 63.16 | 1670 | 643 | 1608
robo_candle1a4_v16_cm1_rm3_tfcurto | 44.65 | 4 | 8 | 56 | 62.5 | 1532 | 643 | 1608
robo_candle1a4_v28_cm1_rm1_tfcurto | 44.64 | 4 | 8 | 56 | 62.5 | 1531 | 643 | 1608
robo_candle1a4_v10_cm1_rm1_tfcurto | 44.55 | 4 | 8 | 54 | 62.96 | 1479 | 643 | 1608
robo_candle1a4_v18_cm3_rm3_tfcurto | 44.48 | 3 | 8 | 37 | 64.86 | 1703 | 572 | 1430
robo_candle1a4_v15_cm3_rm2_tfcurto | 41.95 | 2 | 8 | 27 | 66.67 | 1542 | 422 | 1055
robo_candle1a4_v09_cm3_rm3_tfcurto | 38.58 | 2 | 6 | 28 | 64.29 | 1415 | 572 | 1430
robo_candle1a4_v02_cm2_rm1_tfcurto | 37.17 | 2 | 8 | 55 | 65.45 | 746 | 257 | 1000
robo_candle1a4_v06_cm3_rm2_tfcurto | 35.23 | 2 | 6 | 27 | 62.96 | 1255 | 572 | 1430
