==================================================================
 RANKING STOP PEQUENO (menores perdas) - CANDLE1A4
 Filtro: Saldo > 0 | WR >= 60% | ordenado por MENOR DrawDown
 05/03/2026
==================================================================

#   Robo                          DD      WR%    Saldo   Trades  Consist        TFs
-------------------------------------------------------------------------------------
1   v21_cm3_rm1                  178    69,05      533       13      25% 1min, 2min
2   v22_cm1_rm2                  197    66,27      490       25      25% 2min, 30mi
3   v01_cm1_rm1                  243    70,09     1239       39      25% 2min, 30mi
4   v02_cm2_rm1                  257    65,48      746       55      25% 15min, 30m
5   v43_cm1_rm3                  260    64,59      202       14      50% 1min, 30mi
6   v07_cm1_rm3                  272     63,6      352       25      25% 1min, 30mi
7   v34_cm1_rm3                  272     61,8      266       26      29% 1min, 30mi
8   v19_cm1_rm1                  277    62,83      409       27      29% 1min, 30mi
9   v42_cm3_rm2                  278    73,02      907       19      60% 1min, 30mi
10  v40_cm1_rm2                  278    71,63      642       21      60% 1min, 30mi
11  v49_cm1_rm2                  299    62,83      367       27      40% 1min, 30mi
12  v45_cm3_rm3                  410    74,09     1655       27      40% 1min, 60mi
13  v48_cm3_rm1                  410    74,09     1665       27      40% 1min, 60mi
14  v36_cm3_rm3                  422    71,82     1565       27      40% 1min, 60mi
15  v15_cm3_rm2                  422    71,82     1542       27      25% 1min, 60mi
16  v30_cm3_rm1                  422    71,82     1575       27      40% 1min, 60mi
17  v12_cm3_rm1                  422    71,69     1830       34      38% 1min, 2min
18  v39_cm3_rm1                  560    72,61     1515       28      50% 1min, 60mi
19  v03_cm3_rm1                  572    70,77     1680       35      38% 1min, 2min
20  v09_cm3_rm3                  572    70,44     1415       28      33% 1min, 60mi
